,Year,State,Population,Violent Crime,Murder-Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,% Violent Crime,% Murder-Manslaughter,% Rape,% Robbery,% Aggravated Assault,% Property Crime,% Burglary,% Larceny-Theft,% Motor Vehicle Theft
40,2018,Rhode Island,1057315,2317,16,481,454,1366,17561,2810,13220,1531,0.002191399913932934,1.5132670963714693e-05,0.00045492592084667296,0.0004293895385954044,0.0012919517835271418,0.01660905217461211,0.002657675338002393,0.012503369383769265,0.0014480074528404497
41,2018,South Carolina,5084127,24825,392,2434,3553,18446,153421,29473,109616,14332,0.004882844193309884,7.710271596283886e-05,0.00047874492513660656,0.0006988417087142001,0.0036281548434962383,0.03017646884115995,0.005797062111154973,0.02156043702291465,0.0028189697070903227
42,2018,South Dakota,882235,3570,12,614,262,2682,15251,2571,11156,1524,0.0040465408876319805,1.3601818109687328e-05,0.0006959596932790016,0.00029697302872817334,0.003040006347515118,0.01728677733257012,0.0029141895300005102,0.012645156902639319,0.0017274308999302907
43,2018,Tennessee,6770010,42226,498,2821,7190,31717,191279,33132,137708,20439,0.00623721382981709,7.355971409200282e-05,0.0004166906695854216,0.0010620368359869482,0.004684926610152717,0.02825387259398435,0.004893936641157103,0.02034088575940065,0.0030190501934265978
44,2018,Texas,28701845,117927,1322,14693,28256,73656,679430,117911,491702,69817,0.004108690573724442,4.605975678567005e-05,0.0005119183104779501,0.0009844663296035498,0.0025662461768572718,0.02367199739250212,0.004108133118271665,0.01713137256507378,0.0024324917091566763
45,2018,Utah,3161105,7368,60,1753,1236,4319,75156,9968,57460,7728,0.0023308305165440565,1.8980704532117726e-05,0.0005545529174133728,0.0003910025133616251,0.0013662943812369408,0.02377523049693066,0.0031533277129358246,0.018177188040258075,0.002444714743736763
46,2018,Vermont,626299,1077,10,287,70,710,8036,1467,6316,253,0.0017196259294681934,1.5966814572592323e-05,0.0004582475782333997,0.00011176770200814626,0.001133643834654055,0.012830932190535192,0.002342331697799294,0.010084640084049312,0.0004039604086865858
47,2018,Virginia,8517685,17032,391,2924,3604,10113,141885,15574,115533,10778,0.001999604352591109,4.5904491654716044e-05,0.00034328576367874603,0.000423119662208687,0.00118729443504896,0.016657695136648044,0.0018284310819195592,0.013563896763028922,0.001265367291699564
48,2018,Washington,7535591,23472,236,3413,5572,14251,222011,40201,154133,27677,0.003114818731536783,3.1318047914224645e-05,0.0004529173624205454,0.0007394244193985581,0.001891158901803455,0.02946165735374969,0.005334817136439597,0.020454002877810115,0.0036728373394999806
49,2018,West Virginia,1805832,5236,67,652,572,3945,26827,5354,18954,2519,0.0028994945266226316,3.710201170430029e-05,0.0003610524124060267,0.0003167515029083547,0.0021845885996039497,0.01485575623867558,0.002964838368131698,0.010495992982735935,0.0013949248878079466
50,2018,Wisconsin,5813568,17176,176,2248,3489,11263,90686,14099,67953,8634,0.00295446789303918,3.0274007287779208e-05,0.00038668163853936173,0.000600147792199214,0.0019373644550128252,0.015599026277838325,0.0024251887997181767,0.011688691006968526,0.0014851464711516233
51,2018,Wyoming,577737,1226,13,243,100,870,10313,1525,7949,839,0.0021220728462951134,2.2501588092851937e-05,0.00042060660819715547,0.00017308913917578415,0.001505875510829322,0.017850682923198618,0.002639609372430708,0.013758855673083081,0.001452217877684829
